probes,q_value
221860_at,0.3983260037408075
232552_at,0.3983260037408075
1555240_s_at,0.4042324336566657
203345_s_at,0.4042324336566657
205863_at,0.4042324336566657
206559_x_at,0.4042324336566657
210707_x_at,0.4042324336566657
210999_s_at,0.4042324336566657
212531_at,0.4042324336566657
214167_s_at,0.4042324336566657
217464_at,0.4042324336566657
220946_s_at,0.4042324336566657
224580_at,0.4042324336566657
226477_at,0.4042324336566657
228725_x_at,0.4042324336566657
231151_at,0.4042324336566657
233587_s_at,0.4042324336566657
234115_s_at,0.4042324336566657
235682_s_at,0.4042324336566657
235743_at,0.4042324336566657
236685_at,0.4042324336566657
237208_at,0.4042324336566657
243512_x_at,0.4042324336566657
1553247_a_at,0.40706474924526104
204626_s_at,0.40706474924526104
224576_at,0.40706474924526104
1553536_at,0.40720444078442153
1555819_s_at,0.4073786776337645
1562697_at,0.4073786776337645
201642_at,0.4073786776337645
209694_at,0.4073786776337645
215921_at,0.4073786776337645
226090_x_at,0.4073786776337645
227762_at,0.4073786776337645
244485_at,0.407887542921269
213836_s_at,0.4086165557363684
220370_s_at,0.4086165557363684
1552621_at,0.4101101149721421
1553323_a_at,0.4101101149721421
1560963_a_at,0.4101101149721421
1562682_at,0.4101101149721421
201476_s_at,0.4101101149721421
202075_s_at,0.4101101149721421
202479_s_at,0.4101101149721421
203223_at,0.4101101149721421
203725_at,0.4101101149721421
205210_at,0.4101101149721421
205513_at,0.4101101149721421
205557_at,0.4101101149721421
207237_at,0.4101101149721421
209946_at,0.4101101149721421
211702_s_at,0.4101101149721421
212078_s_at,0.4101101149721421
215592_at,0.4101101149721421
219658_at,0.4101101149721421
220631_at,0.4101101149721421
220797_at,0.4101101149721421
222043_at,0.4101101149721421
223006_s_at,0.4101101149721421
225876_at,0.4101101149721421
226843_s_at,0.4101101149721421
226865_at,0.4101101149721421
228408_s_at,0.4101101149721421
228792_at,0.4101101149721421
232357_at,0.4101101149721421
232500_at,0.4101101149721421
232791_at,0.4101101149721421
235663_at,0.4101101149721421
236013_at,0.4101101149721421
238117_at,0.4101101149721421
240435_at,0.4101101149721421
244069_at,0.4101101149721421
244347_at,0.4101101149721421
244861_at,0.4101101149721421
33197_at,0.4101101149721421
1560673_at,0.41266798570358765
202897_at,0.41266798570358765
230559_x_at,0.41266798570358765
239160_at,0.41266798570358765
215054_at,0.4147202829641273
1554217_a_at,0.41509727983092765
